model,acc_mean,acc_std,macro_f1_mean,macro_f1_std,noise,level,denoise
LDA,0.34028992640561606,0.004187593110960396,0.33909436830737366,0.004311839184292506,drift,0.1,kalman
SVM_RBF,0.727893744915759,0.003228478467953344,0.7285553657198818,0.0030387775203453544,drift,0.1,kalman
RF,0.7878001868579277,0.006684576119081168,0.7881195139561706,0.006590185218575863,drift,0.1,kalman
LDA,0.3194744412777452,0.005997019346134155,0.31638781554882855,0.00589789050505868,drift,0.1,pca
SVM_RBF,0.6541921868224083,0.007763240911998278,0.6558509666800332,0.007444768608365311,drift,0.1,pca
RF,0.8681674375678605,0.004150355835784246,0.8683390648598609,0.004272020140134635,drift,0.1,pca
LDA,0.359548564350043,0.00560082567257505,0.3580937546374213,0.005596885944972422,drift,0.3,none
SVM_RBF,0.7268010465267734,0.0038907784723582342,0.7276142403702204,0.0036933448974424666,drift,0.3,none
RF,0.9035432750789946,0.005558522983409575,0.9035507624576559,0.00550305596631433,drift,0.3,none
LDA,0.35990364739347147,0.00616385929660295,0.35881540534358136,0.005894467903626049,drift,0.3,notch
SVM_RBF,0.7240966882508554,0.0048498659996026325,0.7249297111162468,0.004656382242490515,drift,0.3,notch
RF,0.899773499776007,0.004536775474777905,0.899770213938476,0.004526228917075062,drift,0.3,notch
LDA,0.2946977859749548,0.006212528028760265,0.29148120770924313,0.006012910175615441,drift,0.3,wavelet
SVM_RBF,0.5531730011076338,0.006389367184881157,0.5533122310402337,0.006294435044898509,drift,0.3,wavelet
RF,0.6766193057199338,0.0059209869929962924,0.676994454108619,0.005573022434013362,drift,0.3,wavelet
LDA,0.33223148146040804,0.005303107366706144,0.33079161871580454,0.0053502806206139975,drift,0.3,kalman
SVM_RBF,0.723031248837548,0.00227949103567545,0.7236748319790131,0.00223422404952504,drift,0.3,kalman
RF,0.774769978607338,0.004841106507568189,0.7750633946353376,0.004763110600891497,drift,0.3,kalman
LDA,0.3145300227619536,0.007381809553892581,0.31115987259893674,0.006985345619280638,drift,0.3,pca
SVM_RBF,0.6543287204873364,0.007380784522134874,0.655959183538756,0.007088661309182959,drift,0.3,pca
RF,0.8604913346417591,0.003625282575518483,0.8606692115898877,0.003623443030312529,drift,0.3,pca
LDA,0.35017867762328747,0.007923087027896878,0.3490019335897195,0.007918171646479415,drift,0.6,none
SVM_RBF,0.726008838609067,0.004082926243190412,0.726842025126528,0.003838275869128622,drift,0.6,none
RF,0.8813070697492865,0.005458879536379554,0.881356525260539,0.005396652905250791,drift,0.6,none
LDA,0.34408699053259884,0.003752845421092189,0.3428677317464924,0.003906435959967501,drift,0.6,notch
SVM_RBF,0.723359140064012,0.004310841591360977,0.7242044823577922,0.004144794627178772,drift,0.6,notch
RF,0.8776191833045228,0.003228927044498469,0.8777298919344416,0.003205264274847939,drift,0.6,notch
