experiment_id,category,method_family,model,dataset,subject_setting,split_mode,evaluation_level,noise_type,noise_level,denoise_method,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file,notes
ml_noise_wgn_lvlneg5p0_none_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,none,0.771792,0.771588,0.007080,0.006965,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_notch_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,notch,0.289070,0.284677,0.005270,0.005357,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_notch_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,notch,0.664518,0.665055,0.004702,0.004704,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_notch_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,notch,0.771574,0.771515,0.005309,0.005211,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_wavelet_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,wavelet,0.257355,0.252217,0.003983,0.003847,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_wavelet_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,wavelet,0.532794,0.532710,0.005133,0.005018,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_wavelet_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,wavelet,0.620810,0.620325,0.008439,0.008436,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_kalman_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,kalman,0.281066,0.276150,0.005568,0.005563,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_kalman_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,kalman,0.667577,0.668098,0.003638,0.003572,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_kalman_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,kalman,0.712651,0.712581,0.007062,0.007030,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_pca_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,pca,0.253012,0.245557,0.009475,0.009435,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_pca_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,pca,0.600951,0.601862,0.005636,0.005591,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_pca_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,pca,0.704428,0.704724,0.005267,0.005243,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_none_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,none,0.367252,0.365873,0.005035,0.004678,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_none_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,none,0.726091,0.726868,0.004294,0.004192,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_none_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,none,0.912913,0.912875,0.004836,0.004826,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_notch_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,notch,0.365422,0.364190,0.005027,0.004697,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_notch_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,notch,0.723305,0.724106,0.004824,0.004693,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_notch_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,notch,0.909334,0.909242,0.004257,0.004209,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_wavelet_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,wavelet,0.286339,0.283291,0.006648,0.007082,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_wavelet_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,wavelet,0.540471,0.540342,0.009658,0.009460,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_wavelet_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,wavelet,0.654738,0.654811,0.006252,0.006366,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_kalman_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,kalman,0.338678,0.337469,0.003396,0.003292,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_kalman_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,kalman,0.726337,0.727134,0.003667,0.003489,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_kalman_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,kalman,0.802333,0.802664,0.005122,0.004952,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_pca_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,pca,0.315759,0.312544,0.007961,0.007886,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_pca_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,pca,0.652963,0.654627,0.008661,0.008375,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_pca_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,pca,0.858934,0.859145,0.002154,0.002069,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_none_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,none,0.347119,0.345525,0.006313,0.006213,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_none_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,none,0.721747,0.722541,0.003895,0.003832,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_none_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,none,0.886934,0.886857,0.002057,0.001954,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_notch_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,notch,0.350397,0.348863,0.005441,0.005214,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_notch_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,notch,0.719316,0.720039,0.003660,0.003419,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_notch_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,notch,0.885323,0.885257,0.002713,0.002700,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_wavelet_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,wavelet,0.282951,0.279414,0.006481,0.006586,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_wavelet_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,wavelet,0.545743,0.545683,0.007558,0.007349,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
